"subDirectory_filePath","valence","arousal","eeg"
"02_01_kdy/1.png","-0.1","0.3","02_01_eeg/1.npy"
"02_01_kdy/2.png","-0.1","0.3","02_01_eeg/2.npy"
"02_01_kdy/3.png","-0.1","0.3","02_01_eeg/3.npy"
"02_01_kdy/4.png","-0.1","0.3","02_01_eeg/4.npy"
"02_01_kdy/5.png","-0.1","0.3","02_01_eeg/5.npy"
"02_01_kdy/6.png","-0.1","0.3","02_01_eeg/6.npy"
"02_01_kdy/7.png","-0.1","0.3","02_01_eeg/7.npy"
"02_01_kdy/8.png","-0.1","0.3","02_01_eeg/8.npy"
"02_01_kdy/9.png","-0.1","0.3","02_01_eeg/9.npy"
"02_01_kdy/10.png","-0.1","0.3","02_01_eeg/10.npy"
"02_01_kdy/11.png","-0.1","0.3","02_01_eeg/11.npy"
"02_01_kdy/12.png","-0.1","0.3","02_01_eeg/12.npy"
"02_01_kdy/13.png","-0.1","0.3","02_01_eeg/14.npy"
"02_01_kdy/14.png","-0.1","0.3","02_01_eeg/13.npy"
"02_01_kdy/15.png","-0.1","0.3","02_01_eeg/16.npy"
"02_01_kdy/16.png","-0.1","0.3","02_01_eeg/15.npy"
"02_01_kdy/17.png","-0.1","0.3","02_01_eeg/17.npy"
"02_01_kdy/18.png","-0.1","0.3","02_01_eeg/19.npy"
"02_01_kdy/19.png","-0.1","0.3","02_01_eeg/18.npy"
"02_01_kdy/20.png","-0.1","0.3","02_01_eeg/20.npy"
"02_01_kdy/21.png","-0.1","0.3","02_01_eeg/21.npy"
"02_01_kdy/22.png","-0.1","0.3","02_01_eeg/22.npy"
"02_01_kdy/23.png","-0.1","0.3","02_01_eeg/24.npy"
"02_01_kdy/24.png","-0.1","0.3","02_01_eeg/23.npy"
"02_01_kdy/25.png","-0.1","0.3","02_01_eeg/25.npy"
"02_01_kdy/26.png","-0.1","0.3","02_01_eeg/27.npy"
"02_01_kdy/27.png","-0.1","0.3","02_01_eeg/26.npy"
"02_01_kdy/28.png","-0.1","0.3","02_01_eeg/29.npy"
"02_01_kdy/29.png","-0.1","0.3","02_01_eeg/28.npy"
"02_01_kdy/30.png","-0.1","0.3","02_01_eeg/30.npy"
"02_01_kdy/31.png","-0.1","0.3","02_01_eeg/31.npy"
"02_01_kdy/32.png","-0.1","0.3","02_01_eeg/32.npy"
"02_01_kdy/33.png","-0.1","0.3","02_01_eeg/34.npy"
"02_01_kdy/34.png","-0.1","0.3","02_01_eeg/33.npy"
"02_01_kdy/35.png","-0.1","0.3","02_01_eeg/35.npy"
"02_01_kdy/36.png","-0.1","0.3","02_01_eeg/37.npy"
"02_01_kdy/37.png","-0.1","0.3","02_01_eeg/36.npy"
"02_01_kdy/38.png","-0.1","0.3","02_01_eeg/38.npy"
"02_01_kdy/39.png","-0.1","0.3","02_01_eeg/40.npy"
"02_01_kdy/40.png","-0.1","0.3","02_01_eeg/39.npy"
"02_01_kdy/41.png","-0.1","0.3","02_01_eeg/41.npy"
"02_01_kdy/42.png","-0.1","0.3","02_01_eeg/42.npy"
"02_01_kdy/43.png","-0.1","0.3","02_01_eeg/43.npy"
"02_01_kdy/44.png","-0.1","0.3","02_01_eeg/45.npy"
"02_01_kdy/45.png","-0.1","0.3","02_01_eeg/44.npy"
"02_01_kdy/46.png","-0.1","0.3","02_01_eeg/46.npy"
"02_01_kdy/47.png","-0.1","0.3","02_01_eeg/48.npy"
"02_01_kdy/48.png","-0.1","0.3","02_01_eeg/47.npy"
"02_01_kdy/49.png","-0.1","0.3","02_01_eeg/50.npy"
"02_01_kdy/50.png","-0.1","0.3","02_01_eeg/49.npy"
"02_01_kdy/51.png","-0.1","0.3","02_01_eeg/51.npy"
"02_01_kdy/52.png","-0.1","0.3","02_01_eeg/53.npy"
"02_01_kdy/53.png","-0.1","0.3","02_01_eeg/52.npy"
"02_01_kdy/54.png","-0.1","0.3","02_01_eeg/55.npy"
"02_01_kdy/55.png","-0.1","0.3","02_01_eeg/54.npy"
"02_01_kdy/56.png","-0.1","0.3","02_01_eeg/56.npy"
"02_01_kdy/57.png","-0.1","0.3","02_01_eeg/58.npy"
"02_01_kdy/58.png","-0.1","0.3","02_01_eeg/57.npy"
"02_01_kdy/59.png","-0.1","0.3","02_01_eeg/59.npy"
"02_01_kdy/60.png","-0.1","0.3","02_01_eeg/60.npy"
"02_01_kdy/61.png","-0.1","0.3","02_01_eeg/61.npy"
"02_01_kdy/62.png","-0.1","0.3","02_01_eeg/62.npy"
"02_01_kdy/63.png","-0.1","0.3","02_01_eeg/63.npy"
"02_01_kdy/64.png","-0.1","0.3","02_01_eeg/64.npy"
"02_01_kdy/65.png","-0.1","0.3","02_01_eeg/65.npy"
"02_01_kdy/66.png","-0.1","0.3","02_01_eeg/66.npy"
"02_01_kdy/67.png","-0.1","0.3","02_01_eeg/67.npy"
"02_01_kdy/68.png","-0.1","0.3","02_01_eeg/68.npy"
"02_01_kdy/69.png","-0.1","0.3","02_01_eeg/69.npy"
"02_01_kdy/70.png","-0.1","0.3","02_01_eeg/70.npy"
"02_01_kdy/71.png","-0.1","0.3","02_01_eeg/71.npy"
"02_01_kdy/72.png","-0.1","0.3","02_01_eeg/73.npy"
"02_01_kdy/73.png","-0.1","0.3","02_01_eeg/72.npy"
"02_01_kdy/74.png","-0.1","0.3","02_01_eeg/75.npy"
"02_01_kdy/75.png","-0.1","0.3","02_01_eeg/74.npy"
"02_01_kdy/76.png","-0.1","0.3","02_01_eeg/76.npy"
"02_01_kdy/77.png","-0.1","0.3","02_01_eeg/78.npy"
"02_01_kdy/78.png","-0.1","0.3","02_01_eeg/77.npy"
"02_01_kdy/79.png","-0.1","0.3","02_01_eeg/79.npy"
"02_01_kdy/80.png","-0.1","0.3","02_01_eeg/80.npy"
"02_01_kdy/81.png","-0.1","0.3","02_01_eeg/81.npy"
"02_01_kdy/82.png","-0.1","0.3","02_01_eeg/83.npy"
"02_01_kdy/83.png","-0.1","0.3","02_01_eeg/82.npy"
"02_01_kdy/84.png","-0.1","0.3","02_01_eeg/84.npy"
"02_01_kdy/85.png","-0.1","0.3","02_01_eeg/86.npy"
"02_01_kdy/86.png","-0.1","0.3","02_01_eeg/85.npy"
"02_01_kdy/87.png","-0.1","0.3","02_01_eeg/87.npy"
"02_01_kdy/88.png","-0.1","0.3","02_01_eeg/88.npy"
"02_01_kdy/89.png","-0.1","0.3","02_01_eeg/89.npy"
"02_01_kdy/90.png","-0.1","0.3","02_01_eeg/91.npy"
"02_01_kdy/91.png","-0.1","0.3","02_01_eeg/90.npy"
"02_01_kdy/92.png","-0.1","0.3","02_01_eeg/92.npy"
"02_01_kdy/93.png","-0.1","0.3","02_01_eeg/93.npy"
"02_01_kdy/94.png","-0.1","0.3","02_01_eeg/94.npy"
"02_01_kdy/95.png","-0.1","0.3","02_01_eeg/96.npy"
"02_01_kdy/96.png","-0.1","0.3","02_01_eeg/95.npy"
"02_01_kdy/97.png","-0.1","0.3","02_01_eeg/97.npy"
"02_01_kdy/98.png","-0.1","0.3","02_01_eeg/99.npy"
"02_01_kdy/99.png","-0.1","0.3","02_01_eeg/98.npy"
"02_01_kdy/100.png","-0.1","0.3","02_01_eeg/101.npy"
"02_01_kdy/101.png","-0.1","0.3","02_01_eeg/100.npy"
"02_01_kdy/102.png","-0.1","0.3","02_01_eeg/102.npy"
"02_01_kdy/103.png","-0.1","0.3","02_01_eeg/104.npy"
"02_01_kdy/104.png","-0.1","0.3","02_01_eeg/103.npy"
"02_01_kdy/105.png","-0.1","0.3","02_01_eeg/105.npy"
"02_01_kdy/106.png","-0.1","0.3","02_01_eeg/106.npy"
"02_01_kdy/107.png","-0.1","0.3","02_01_eeg/107.npy"
"02_01_kdy/108.png","-0.1","0.3","02_01_eeg/108.npy"
"02_01_kdy/109.png","-0.1","0.3","02_01_eeg/109.npy"
"02_01_kdy/110.png","-0.1","0.3","02_01_eeg/110.npy"
"02_01_kdy/111.png","-0.1","0.3","02_01_eeg/112.npy"
"02_01_kdy/112.png","-0.1","0.3","02_01_eeg/111.npy"
"02_01_kdy/113.png","-0.1","0.3","02_01_eeg/114.npy"
"02_01_kdy/114.png","-0.1","0.3","02_01_eeg/113.npy"
"02_01_kdy/115.png","-0.1","0.3","02_01_eeg/115.npy"
"02_01_kdy/116.png","-0.1","0.3","02_01_eeg/117.npy"
"02_01_kdy/117.png","-0.1","0.3","02_01_eeg/116.npy"
"02_01_kdy/118.png","-0.1","0.3","02_01_eeg/118.npy"
"02_01_kdy/119.png","-0.1","0.3","02_01_eeg/120.npy"
"02_01_kdy/120.png","-0.1","0.3","02_01_eeg/119.npy"
"02_01_kdy/121.png","-0.1","0.3","02_01_eeg/121.npy"
"02_01_kdy/122.png","-0.1","0.3","02_01_eeg/122.npy"
"02_01_kdy/123.png","-0.1","0.3","02_01_eeg/123.npy"
